,fromNode,toNode,weight,direction,fromAltName,toAltName
309,ACO2,CALB2,0.664045188596816,undirected,ACO2,CALB2
310,ACO2,CALHM3,-0.691324915589528,undirected,ACO2,CALHM3
311,ACO2,CDC23,0.574044733316186,undirected,ACO2,CDC23
312,ACO2,CEP170,-0.851369948190974,undirected,ACO2,CEP170
313,ACO2,CERS2,0.55915127344935,undirected,ACO2,CERS2
314,ACO2,CHRNA2,0.543366404645796,undirected,ACO2,CHRNA2
315,ACO2,CHST4,0.519843048199683,undirected,ACO2,CHST4
316,ACO2,CLU,0.856373886586919,undirected,ACO2,CLU
317,ACO2,CNTN4,0.712957711697702,undirected,ACO2,CNTN4
318,ACO2,COQ10B,0.594672539789608,undirected,ACO2,COQ10B
319,ACO2,CPEB1,0.802713817500444,undirected,ACO2,CPEB1
320,ACO2,CSDC2,0.723788415701728,undirected,ACO2,CSDC2
321,ACO2,CTSS,0.792632637319953,undirected,ACO2,CTSS
322,ACO2,CUL3,-0.770716380299493,undirected,ACO2,CUL3
323,ACO2,CYP17A1,0.702309744138635,undirected,ACO2,CYP17A1
324,ACO2,DDHD2,0.876446399653475,undirected,ACO2,DDHD2
325,ACO2,DGKZ,0.545606937836672,undirected,ACO2,DGKZ
326,ACO2,DNAH1,0.599301196253488,undirected,ACO2,DNAH1
327,ACO2,DNAJC19,0.831015742383961,undirected,ACO2,DNAJC19
328,ACO2,DPEP2,0.762797422171166,undirected,ACO2,DPEP2
329,ACO2,DPEP3,0.767861888087877,undirected,ACO2,DPEP3
330,ACO2,DRD2,0.631823775147361,undirected,ACO2,DRD2
331,ACO2,DRG2,0.517958233874995,undirected,ACO2,DRG2
332,ACO2,ECM1,0.706697525460258,undirected,ACO2,ECM1
333,ACO2,EDC4,-0.616613898865083,undirected,ACO2,EDC4
334,ACO2,EFTUD1,-0.738681984956567,undirected,ACO2,EFTUD1
335,ACO2,ELOVL1,0.70375579636959,undirected,ACO2,ELOVL1
336,ACO2,ELOVL7,0.644077781661288,undirected,ACO2,ELOVL7
337,ACO2,EMB,0.843202764100547,undirected,ACO2,EMB
338,ACO2,EMX1,-0.764433946211002,undirected,ACO2,EMX1
339,ACO2,EP300,-0.841413427979277,undirected,ACO2,EP300
340,ACO2,EPHX2,0.603956314528207,undirected,ACO2,EPHX2
341,ACO2,EPN2,0.747321894724302,undirected,ACO2,EPN2
342,ACO2,ESAM,0.792992628378591,undirected,ACO2,ESAM
343,ACO2,ETF1,0.831650244997198,undirected,ACO2,ETF1
344,ACO2,FAM154B,0.612495271606306,undirected,ACO2,FAM154B
345,ACO2,FAM63A,0.746812807327685,undirected,ACO2,FAM63A
346,ACO2,FANCL,-0.545174652790649,undirected,ACO2,FANCL
347,ACO2,FHIT,0.881945355246449,undirected,ACO2,FHIT
348,ACO2,FTSJ2,0.574442973146407,undirected,ACO2,FTSJ2
349,ACO2,GIGYF2,-0.69142062515828,undirected,ACO2,GIGYF2
350,ACO2,GMIP,-0.734215504400881,undirected,ACO2,GMIP
351,ACO2,GNL3,-0.633307700058654,undirected,ACO2,GNL3
352,ACO2,GPR135,0.522877273231334,undirected,ACO2,GPR135
353,ACO2,GRAP,0.764744889246628,undirected,ACO2,GRAP
354,ACO2,GRIA1,-0.531961958859526,undirected,ACO2,GRIA1
355,ACO2,HARBI1,-0.863096994631172,undirected,ACO2,HARBI1
356,ACO2,HCN1,-0.698747942853221,undirected,ACO2,HCN1
357,ACO2,HOMER2,0.512342146748839,undirected,ACO2,HOMER2
358,ACO2,HVCN1,0.856343250458828,undirected,ACO2,HVCN1
359,ACO2,IGSF9B,0.670650671215977,undirected,ACO2,IGSF9B
360,ACO2,IMMP2L,0.6388158989642,undirected,ACO2,IMMP2L
361,ACO2,INA,0.617234760230229,undirected,ACO2,INA
362,ACO2,INPP4B,0.841757239703002,undirected,ACO2,INPP4B
363,ACO2,IREB2,-0.81716724960103,undirected,ACO2,IREB2
364,ACO2,ITIH1,0.647339547132659,undirected,ACO2,ITIH1
365,ACO2,ITIH3,0.602874785327515,undirected,ACO2,ITIH3
366,ACO2,JKAMP,0.800111628375599,undirected,ACO2,JKAMP
367,ACO2,KDM4A,-0.881186807441879,undirected,ACO2,KDM4A
368,ACO2,KIAA1324L,0.786888061124168,undirected,ACO2,KIAA1324L
